VendorID,passenger_count,fare_amount,mean_distance,mean_duration,rush_hour
2,2,6.0,0.9426923076923077,7.425000000000001,0
1,1,22.0,4.068333333333333,21.194444444444443,0
1,1,11.0,1.5607142857142857,14.825000000000001,1
1,1,4.5,0.8602777777777777,10.688425925925927,0
2,1,10.5,1.761764705882353,9.443137254901961,1
1,1,20.0,0.5354545454545455,4.47020202020202,1
2,1,5.5,1.7036363636363638,11.227272727272727,0
1,2,17.5,3.9,17.233333333333334,0
2,1,6.0,1.44875,7.65625,1
1,1,13.0,2.384,18.608888888888888,0
2,1,6.0,1.2989473684210526,7.580701754385965,1
2,1,8.5,1.7326315789473685,12.910526315789474,1
2,1,6.5,1.8305882352941176,6.292156862745098,0
2,1,10.0,2.118888888888889,14.316666666666666,0
1,1,28.0,14.885833333333332,30.07361111111111,0
2,1,4.5,0.5816363636363636,4.19469696969697,0
1,2,6.0,1.5571428571428572,6.785714285714286,0
2,2,11.5,1.9537931034482758,11.602873563218392,0
1,1,6.5,1.33875,7.416666666666667,1
1,1,5.5,1.342,23.14,0
2,1,7.5,1.2558064516129033,10.399462365591397,0
2,1,4.0,0.6073684210526316,4.6957894736842105,0
1,1,3.5,0.5238235294117647,4.8313725490196076,0
2,1,8.0,0.8865217391304349,5.692028985507246,0
1,1,11.0,1.5114285714285713,13.395238095238096,1
1,1,6.0,0.5971428571428571,6.125,1
1,1,4.5,0.714,5.309444444444444,0
2,1,12.5,1.0263461538461538,9.357051282051282,0
2,2,5.0,0.8944444444444445,5.764550264550265,0
2,5,39.5,10.757200000000001,34.97266666666666,0
2,2,5.0,0.7033333333333333,8.76388888888889,0
1,1,20.5,2.825833333333333,23.9375,0
2,2,24.5,6.013333333333333,36.361111111111114,0
1,1,51.5,15.393333333333333,64.31666666666666,0
1,1,12.5,1.7025,11.838333333333333,0
1,1,23.0,6.2,27.508333333333333,0
1,1,11.0,2.53375,17.847916666666666,0
1,1,15.0,3.5140000000000002,23.09,0
2,1,52.0,2.2558620689655173,3.0218390804597703,0
1,1,12.0,2.38375,17.864583333333332,0
2,2,12.0,1.7356,11.968,0
2,1,17.0,4.684,17.976666666666667,1
2,1,17.5,4.4775,17.704166666666666,0
2,1,6.5,1.1538461538461537,10.95,1
2,2,10.5,1.9288888888888889,14.470370370370368,0
2,2,5.0,1.153888888888889,5.8240740740740735,0
2,6,14.0,3.6339999999999995,21.62666666666667,0
1,2,4.5,0.6073684210526316,4.6957894736842105,0
1,1,19.0,3.176,18.343333333333334,0
2,1,22.0,5.55,22.54444444444444,0
1,1,13.5,3.3375,22.041666666666664,1
1,1,62.5,16.9,88.78333333333333,0
1,1,6.5,1.6226666666666667,11.204444444444444,1
2,1,62.5,18.05,37.833333333333336,0
2,3,5.0,0.5180851063829788,6.704609929078014,1
2,3,13.0,1.8606666666666667,14.74,0
2,1,25.5,8.015,22.700000000000003,1
2,2,5.5,1.0229090909090908,8.365454545454545,0
2,1,6.5,0.6404761904761904,5.765873015873016,1
1,1,14.5,3.8207142857142857,19.33809523809524,0
1,1,11.0,2.2423076923076923,14.467948717948719,0
2,2,22.5,2.4455555555555555,17.337037037037035,1
2,1,9.5,1.7542857142857142,9.414285714285715,1
1,1,15.0,2.02,14.468055555555557,0
1,1,12.5,2.0066666666666664,10.991666666666667,1
1,3,42.5,3.1915162454873647,15.618772563176893,0
1,2,9.5,2.375,16.065833333333334,0
2,1,6.0,1.3713636363636363,10.40378787878788,1
1,2,10.5,1.5571428571428572,6.785714285714286,1
1,2,22.0,2.8633333333333333,27.57777777777778,1
